SubCat_URL,category,subcategory,img_url,number,number_url,name,code,date_range,options,quantity,rownumber
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,1339608001,/en/search/all?q=1339608001&qty=1,NUT,1339GA,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,32800F2110,/en/search/all?q=32800F2110&qty=1,PEDAL ASSY-BRAKE,32800B,08.11.2018 - ...,TRANSAXLE: MANUAL T/M - 6 SPEED 2WD; (3281A3) PEDAL TYPE - METAL PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,32800F2200,/en/search/all?q=32800F2200&qty=1,PEDAL ASSY-BRAKE,32800B,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,32800F2210,/en/search/all?q=32800F2210&qty=1,PEDAL ASSY-BRAKE,32800B,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A3) PEDAL TYPE - METAL PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,1339508001,/en/search/all?q=1339508001&qty=2,NUT-FLANGE,1339CD,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,2pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,32831F2100,/en/search/all?q=32831F2100&qty=1,BRACKET-COWL MTG,32831,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,1310110001,/en/search/all?q=1310110001&qty=1,NUT,1310JA,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,32830F2110,/en/search/all?q=32830F2110&qty=1,MEMBER ASSY-BRAKE,32830G,17.08.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,32830F2100,/en/search/all?q=32830F2100&qty=1,MEMBER ASSY-BRAKE,32830G,26.07.2016 - 17.08.2016,,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,1360210001,/en/search/all?q=1360210001&qty=1,WASHER-SPRING,1360GH,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
/en/catalog/genuine/parts?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&gid=698&q=,ENGINE,BRAKE & CLUTCH PEDAL; 1,/assets/tesseract/assets/global/HYUNDAI202404/source/cat/2/H/KDOMPG317/32-32811.gif,938103S700,/en/search/all?q=938103S700&qty=1,SWITCH ASSY-STOP LAMP(4P),93810A,26.07.2016 - ...,TRANSAXLE: DCT - 7 SPEED 2WD; (3281A1) PEDAL TYPE - RUBBER PAD,1pcs,0
